��Name,Artist,Composer,Album,Grouping,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Another Day (xKore Remix),Modestep,,Evolution Theory,,Dubstep,7830536,259,2,2,3,9,2013,11/26/13, 8:07 AM,11/26/13, 8:25 AM,241,44100,,MPEG audio file,,,8,12/10/13, 1:20 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Modestep:Evolution Theory:2-03 Another Day (xKore Remix).mp3
Bad Wings,The Glitch Mob,,Drink the Sea,,Dubstep,12951339,399,,,2,,2010,11/26/13, 8:10 AM,11/26/13, 8:25 AM,259,44100,,MPEG audio file,,,8,12/10/13, 11:12 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:The Glitch Mob:Drink the Sea:02 Bad Wings.mp3
BayTL Dub,Antiserum & Mayhem,,BayTL Dub,,Dubstep,7715238,254,,,1,,2012,11/26/13, 7:56 AM,11/26/13, 8:25 AM,240,44100,,MPEG audio file,,,8,12/10/13, 11:53 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Antiserum & Mayhem:BayTL Dub:01 BayTL Dub.mp3
Below Us Feat. Shaz Sparks,Seven Lions,,Polarize EP,,Dubstep,8045957,250,,,1,,2012,11/26/13, 8:01 AM,11/26/13, 8:25 AM,251,44100,,MPEG audio file,,VPR044,6,12/10/13, 12:51 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Compilations:Polarize EP:01 Below Us Feat. Shaz Sparks.mp3
Blue,Gemini,,Blue EP,,Dubstep/Grime,10157901,316,,,1,,,11/26/13, 8:04 AM,11/26/13, 8:25 AM,256,44100,,MPEG audio file,,,6,12/10/13, 11:42 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Gemini:Blue EP:01 Blue.mp3
Boomerang,Bassnectar,,Divergent Spectrum,,Dubstep,10652630,264,,,4,,2011,11/26/13, 7:56 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,5,12/10/13, 10:51 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Bassnectar:Divergent Spectrum:04 Boomerang.mp3
Burn (Stenchman Remix),Jessica Mauboy,,Blow Your Head Volume 1: Diplo Presents Dubstep,,Bass,5040522,215,,,7,16,2010,11/26/13, 8:06 AM,11/26/13, 8:25 AM,187,44100,,MPEG audio file,,,8,12/10/13, 1:49 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Jessica Mauboy:Blow Your Head Volume 1_ Diplo Presents Dubstep:07 Burn (Stenchman Remix).mp3
Cinema Feat. Benny Benassi & Gary Go,Skrillex,,Cinema (Part 2),,,6646146,307,1,,5,,2011,11/26/13, 8:09 AM,11/26/13, 8:25 AM,169,44100,,MPEG audio file,,,6,12/10/13, 1:45 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Skrillex:Cinema (Part 2):1-05 Cinema Feat. Benny Benassi & Gary Go.mp3
Cracks (Flux Pavilion Remix),The Freestylers,,Cracks (Remixes),,Dubstep,9026533,281,,,2,,2010,11/26/13, 8:10 AM,11/26/13, 8:25 AM,245,44100,,MPEG audio file,,,7,12/9/13, 11:02 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:The Freestylers:Cracks (Remixes):02 Cracks (Flux Pavilion Remix).mp3
Crave You (Adventure Club remix),Flight Faciltiies (feat. Giselle),,Crave You (remixes),,House,7106437,236,1,,9,,2012,11/26/13, 8:03 AM,11/26/13, 8:25 AM,237,44100,,MPEG audio file,,,5,12/10/13, 11:00 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Flight Faciltiies:Crave You (remixes):1-09 Crave You (Adventure Club remix).mp3
